class,subclass,PrXs,pid,marketloss,share,freq,duration
Marine Hull,Main,Excess,MH_main_4539,23700.3,0.1,2,0.996577687
Marine Hull,Main,Excess,MH_main_3740,95499.375,0.08,1,0.996577687
Marine Hull,Main,Excess,MH_main_2602,25720.01824,0.0493425,4,1.500342231
Marine Hull,Main,Excess,MH_main_2602,239949.9417,0.0493425,4,1.500342231
Marine Hull,Main,Excess,MH_main_2602,4879.768962,0.0493425,4,1.500342231
Marine Hull,Main,Excess,MH_main_2602,2000.101333,0.0493425,4,1.500342231
Marine Hull,Main,Excess,MH_main_3464,827261.2593,0.0694425,2,0.999315537
Marine Hull,Main,Excess,MH_main_3464,861699.9676,0.0694425,2,0.999315537
Marine Hull,Main,Excess,MH_main_3465,222055.2857,0.07,1,0.999315537
Marine Hull,Main,Excess,MH_main_4239,13115.71291,0.067365,1,0.996577687
Marine Hull,Main,Excess,MH_main_4118,305562.5729,0.064285,1,0.996577687
Marine Hull,Main,Excess,MH_main_2584,326657.7273,0.019246787,1,0.996577687
Marine Hull,Main,Excess,MH_main_3165,60703.70813,0.022079381,3,0.999315537
Marine Hull,Main,Excess,MH_main_3165,115728.7879,0.022079381,3,0.999315537
Marine Hull,Main,Excess,MH_main_3165,0.140402487,0.022079381,3,0.999315537
Marine Hull,Main,Excess,MH_main_3165,110341.8615,0.022079381,3,0.999315537
