class,subclass,PrXs,pid,marketloss,share,freq,duration
Marine Hull,Main,Excess,MH_main_4400,697351.4126,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,45564.24112,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,12309.92022,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,33504.965,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,7657.740138,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,371869.0367,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,38729.4862,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,6154.090111,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,10098.67018,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,454986.2282,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,29798.66054,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,45926.71793,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,1676413.18,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,26030.11047,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_4400,71672.05129,0.034482758,13,0.996577687
Marine Hull,Main,Excess,MH_main_2998,1450.07918,0.050438625,7,0.999315537
Marine Hull,Main,Excess,MH_main_2998,22529160.94,0.050438625,7,0.999315537
Marine Hull,Main,Excess,MH_main_2998,8284.434796,0.050438625,7,0.999315537
Marine Hull,Main,Excess,MH_main_2998,57568.89289,0.050438625,7,0.999315537
Marine Hull,Main,Excess,MH_main_2998,6650.062328,0.050438625,7,0.999315537
Marine Hull,Main,Excess,MH_main_2998,333700.0166,0.050438625,7,0.999315537
Marine Hull,Main,Excess,MH_main_2998,7500.006196,0.050438625,7,0.999315537
Marine Hull,Main,Excess,MH_main_2998,225900.0914,0.050438625,7,0.999315537
Marine Hull,Main,Excess,MH_main_2998,2575049.974,0.050438625,7,0.999315537
Marine Hull,Main,Excess,MH_main_2999,22222.03611,0.05373,4,1.500342231
Marine Hull,Main,Excess,MH_main_2999,3897.077983,0.05373,4,1.500342231
Marine Hull,Main,Excess,MH_main_2999,406595.9427,0.05373,4,1.500342231
Marine Hull,Main,Excess,MH_main_2999,1050944.165,0.05373,4,1.500342231
Marine Hull,Main,Excess,MH_main_3918,1041479.874,0.039179,7,1.49486653
Marine Hull,Main,Excess,MH_main_3918,1446938.921,0.039179,7,1.49486653
Marine Hull,Main,Excess,MH_main_3918,82072.02838,0.039179,7,1.49486653
Marine Hull,Main,Excess,MH_main_3918,3391180.99,0.039179,7,1.49486653
Marine Hull,Main,Excess,MH_main_3918,2370.912989,0.039179,7,1.49486653
Marine Hull,Main,Excess,MH_main_3918,3015.901376,0.039179,7,1.49486653
Marine Hull,Main,Excess,MH_main_3918,297061.1807,0.039179,7,1.49486653
Marine Hull,Main,Excess,MH_main_3090,78664.71325,0.10375,2,1.500342231
Marine Hull,Main,Excess,MH_main_3090,65964.70458,0.10375,2,1.500342231
Marine Hull,Main,Excess,MH_main_4081,98770.98892,0.10375,5,1.49486653
Marine Hull,Main,Excess,MH_main_4081,57058.95904,0.10375,5,1.49486653
Marine Hull,Main,Excess,MH_main_4081,7405.269398,0.10375,5,1.49486653
Marine Hull,Main,Excess,MH_main_4081,13317.24723,0.10375,5,1.49486653
Marine Hull,Main,Excess,MH_main_4081,374034.054,0.10375,5,1.49486653
Marine Hull,Main,Excess,MH_main_3060,5138285.796,0.08786,1,0.999315537
Marine Hull,Main,Excess,MH_main_3073,49978.46841,0.087778,1,0.605065024
Marine Hull,Main,Excess,MH_main_3047,6930.834,0.05,1,0.999315537
Marine Hull,Main,Excess,MH_main_3047,511036.2,0.05,1,0.999315537
Marine Hull,Main,Excess,MH_main_3091,64526.94495,0.093023,1,1.081451061
Marine Hull,Main,Excess,MH_main_3748,611527.7,0.1,1,0.996577687
Marine Hull,Main,Excess,MH_main_3748,3916.568,0.1,1,0.996577687
Marine Hull,Main,Excess,MH_main_4621,1461.292369,0.093023,1,0.996577687
Marine Hull,Main,Excess,MH_main_4621,114148.3289,0.093023,1,0.996577687
Marine Hull,Main,Excess,MH_main_5495,381980.9387,0.15,1,0.996577687
Marine Hull,Main,Excess,MH_main_5495,4918,0.15,1,0.996577687
Marine Hull,Main,Excess,MH_main_3070,4319.997984,0.075000035,1,0.999315537
Marine Hull,Main,Excess,MH_main_3092,298842.8,0.075,1,0.999315537
Marine Hull,Main,Excess,MH_main_3662,100027.6618,0.0857175,4,0.996577687
Marine Hull,Main,Excess,MH_main_3662,222757.4276,0.0857175,4,0.996577687
Marine Hull,Main,Excess,MH_main_3662,73826.662,0.0857175,4,0.996577687
Marine Hull,Main,Excess,MH_main_3662,181109.5587,0.0857175,4,0.996577687
Marine Hull,Main,Excess,MH_main_4540,3671.519952,0.0909075,2,0.996577687
Marine Hull,Main,Excess,MH_main_4540,3914.040096,0.0909075,2,0.996577687
Marine Hull,Main,Excess,MH_main_5415,639163.196,0.075,1,0.996577687
Marine Hull,Main,Excess,MH_main_5415,5578.8,0.075,1,0.996577687
Marine Hull,Main,Excess,MH_main_4622,4991.7,0.1,1,0.999315537
Marine Hull,Main,Excess,MH_main_3100,115728.6857,0.0875,1,1.497604381
Marine Hull,Main,Excess,MH_main_3173,36265.01366,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,715.2577881,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,9444.256611,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,310.6667767,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,7725.236313,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,12250.60963,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,28953.99938,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,4494.306236,0.09999975,26,1.503080082
Marine Hull,Main,Excess,MH_main_3173,451655.9441,0.09999975,26,1.503080082
